Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),R24 Name (CV),R24 link,Metadata Submission,Data Collection (CV),Project (CV)
CEMBA171218-1_Pm3C,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA171218-1_Tf3C,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA171218-1_Tm3C,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA171219-1_Pf3C,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA171220-1_Tm4B,mouse,NCBI:txid10090,CEMBA171027_T1;CEMBA171028_T2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA180102-1_Pm4B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA180104-1_Bm3C,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q2,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA180104-1_Bm4B,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q2,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA180104-2_Bm3C,mouse,NCBI:txid10090,CEMBA171201_B3;CEMBA171201_B4,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q2,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
CEMBA180105-1_Tf6B,mouse,NCBI:txid10090,CEMBA171027_T3;CEMBA171027_T4,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,2019Q1,ecker_sn_mCseq_retro,ecker_sn_mCseq_retro_proj
